,GALAUSDT,MASKUSDT,Spread,Zscore
0,0.04764,1.371,0.006510000000000002,
1,0.04695,1.345,0.006600000000000002,
2,0.04693,1.34,0.00673,
3,0.04708,1.355,0.006429999999999998,
4,0.0471,1.352,0.006540000000000004,
5,0.0473,1.362,0.006440000000000001,
6,0.04691,1.348,0.006469999999999997,
7,0.04701,1.354,0.00639,
8,0.04683,1.344,0.006509999999999995,
9,0.04714,1.36,0.006339999999999998,
10,0.0471,1.353,0.006510000000000002,
11,0.0471,1.358,0.0063600000000000045,
12,0.04705,1.355,0.006400000000000003,
13,0.04739,1.37,0.006289999999999997,
14,0.04787,1.382,0.006410000000000006,
15,0.04837,1.396,0.00649000000000001,
16,0.04844,1.389,0.006769999999999998,
17,0.04834,1.395,0.006490000000000003,
18,0.04954,1.42,0.006940000000000002,
19,0.05008,1.435,0.0070300000000000015,
20,0.05,1.431,0.00707,2.2946791565155125
21,0.04992,1.432,0.006960000000000001,1.5902287757133848
22,0.05009,1.431,0.00716,2.045196728104963
23,0.04964,1.423,0.006949999999999998,1.190830657118091
24,0.04963,1.415,0.007179999999999999,1.7477053780835197
25,0.04947,1.412,0.007110000000000005,1.3598936802580142
26,0.04927,1.408,0.0070300000000000085,1.0062176055124803
27,0.04887,1.421,0.0062399999999999956,-1.3729550334050185
28,0.04873,1.413,0.006340000000000005,-1.0572833372623456
29,0.04894,1.418,0.006400000000000003,-0.8527664026831363
30,0.0496,1.436,0.006520000000000005,-0.5351791233765134
31,0.04958,1.424,0.006860000000000005,0.4405166032789914
32,0.04966,1.42,0.007060000000000004,0.950769271564831
33,0.04941,1.416,0.006930000000000006,0.4898734959775465
34,0.04922,1.419,0.006650000000000003,-0.4623459410683526
35,0.05008,1.441,0.006850000000000002,0.1345757346572546
36,0.04991,1.431,0.00698,0.5155139118978392
37,0.04976,1.422,0.007100000000000002,0.8679718431723523
38,0.0499,1.421,0.007269999999999999,1.3221524100735391
