,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
1418,ICXUSDT,BAKEUSDT,0.02,-3.62,-3.37,0.93,31
1179,RSRUSDT,XLMUSDT,0.02,-3.65,-3.37,0.06,31
1465,KAVAUSDT,CELOUSDT,0.04,-3.39,-3.37,1.91,31
390,CHZUSDT,REEFUSDT,0.01,-3.79,-3.37,30.02,31
1884,1000XECUSDT,BSVUSDT,0.03,-3.49,-3.37,0.0,31
2364,USDCUSDT,ARPAUSDT,0.0,-7.56,-3.37,27.32,31
1446,WAVESUSDT,ARPAUSDT,0.01,-3.84,-3.37,138.71,31
1181,RSRUSDT,SANDUSDT,0.04,-3.4,-3.37,0.01,31
732,MKRUSDT,BSVUSDT,0.03,-3.51,-3.37,17.31,31
712,AGLDUSDT,BATUSDT,0.01,-3.94,-3.37,1.03,31
2355,USDCUSDT,API3USDT,0.0,-7.58,-3.37,0.55,31
1906,ACHUSDT,CELOUSDT,0.01,-3.77,-3.37,0.01,31
2342,USDCUSDT,10000NFTUSDT,0.0,-7.58,-3.37,153.09,31
852,FLOWUSDT,HOTUSDT,0.01,-4.02,-3.37,771.09,31
395,CHZUSDT,ACHUSDT,0.0,-4.42,-3.37,8.61,31
655,HBARUSDT,CVCUSDT,0.02,-3.62,-3.37,0.47,31
713,AGLDUSDT,SNXUSDT,0.05,-3.37,-3.37,0.15,31
165,XEMUSDT,REEFUSDT,0.01,-3.79,-3.37,11.49,31
1262,MASKUSDT,HOTUSDT,0.0,-7.26,-3.37,714.77,31
2114,CTCUSDT,LINAUSDT,0.0,-4.86,-3.37,42.05,31
1019,SXPUSDT,1000XECUSDT,0.0,-4.84,-3.37,9.45,31
856,WOOUSDT,XRPUSDT,0.04,-3.42,-3.37,0.52,31
436,SHIB1000USDT,CVCUSDT,0.02,-3.61,-3.37,0.08,31
1825,GLMRUSDT,ADAUSDT,0.03,-3.59,-3.37,1.38,31
2115,CTCUSDT,ASTRUSDT,0.04,-3.44,-3.37,8.72,31
408,ENJUSDT,FTMUSDT,0.02,-3.72,-3.37,1.96,31
2014,CTCUSDT,MANAUSDT,0.0,-5.11,-3.37,0.43,30
1499,QNTUSDT,BATUSDT,0.01,-3.95,-3.37,258.25,30
579,IOSTUSDT,API3USDT,0.02,-3.65,-3.37,0.01,30
576,IOSTUSDT,WAVESUSDT,0.02,-3.64,-3.37,0.0,30
2018,CTCUSDT,ENJUSDT,0.0,-4.78,-3.37,0.72,30
293,VETUSDT,BSVUSDT,0.03,-3.59,-3.37,0.0,30
1491,CREAMUSDT,XNOUSDT,0.03,-3.56,-3.37,19.76,30
1236,STXUSDT,BANDUSDT,0.0,-4.38,-3.37,0.28,30
701,AGLDUSDT,MANAUSDT,0.0,-4.12,-3.37,0.47,30
2023,CTCUSDT,FTMUSDT,0.0,-4.92,-3.37,1.42,30
2064,CTCUSDT,CVCUSDT,0.0,-5.01,-3.37,2.62,30
1459,KNCUSDT,CTCUSDT,0.04,-3.38,-3.37,3.74,30
1645,API3USDT,DOGEUSDT,0.01,-4.06,-3.37,28.8,30
1528,NEOUSDT,FXSUSDT,0.01,-4.0,-3.37,1.69,30
2059,CTCUSDT,SFPUSDT,0.0,-5.01,-3.37,1.18,30
1568,BANDUSDT,1000BTTUSDT,0.03,-3.59,-3.37,1582.27,30
1458,KNCUSDT,API3USDT,0.04,-3.43,-3.37,0.75,30
205,DOGEUSDT,ZILUSDT,0.04,-3.46,-3.37,1.66,30
1692,API3USDT,ICXUSDT,0.0,-4.6,-3.37,6.53,30
992,LPTUSDT,GTCUSDT,0.04,-3.39,-3.37,3.61,30
181,AAVEUSDT,GMTUSDT,0.02,-3.73,-3.37,97.33,30
809,TLMUSDT,BSWUSDT,0.0,-4.26,-3.37,0.09,30
1840,BAKEUSDT,STXUSDT,0.04,-3.47,-3.37,0.78,30
2117,CTCUSDT,MINAUSDT,0.0,-4.72,-3.37,0.54,30
2095,CTCUSDT,JSTUSDT,0.0,-4.92,-3.37,12.73,30
1533,XNOUSDT,DARUSDT,0.01,-4.1,-3.37,3.09,30
1195,RSRUSDT,BATUSDT,0.02,-3.74,-3.37,0.02,30
1374,REEFUSDT,CTCUSDT,0.02,-3.59,-3.37,0.01,30
2042,CTCUSDT,FLOWUSDT,0.0,-5.05,-3.37,0.23,30
688,C98USDT,MASKUSDT,0.01,-3.81,-3.37,0.33,30
2078,CTCUSDT,IOTAUSDT,0.0,-4.7,-3.37,1.34,30
2058,CTCUSDT,IMXUSDT,0.0,-4.66,-3.37,0.4,30
281,TRXUSDT,SLPUSDT,0.03,-3.58,-3.37,17.15,30
1994,CTCUSDT,EOSUSDT,0.0,-4.72,-3.37,0.37,30
1995,CTCUSDT,XRPUSDT,0.0,-5.13,-3.37,1.07,30
1753,BSWUSDT,ARPAUSDT,0.0,-4.21,-3.37,8.51,30
1431,CELOUSDT,BANDUSDT,0.01,-3.9,-3.37,0.65,30
2001,CTCUSDT,UNIUSDT,0.0,-5.52,-3.37,0.05,30
1501,QNTUSDT,CTCUSDT,0.0,-4.61,-3.37,275.37,30
1014,SXPUSDT,JSTUSDT,0.02,-3.7,-3.37,13.06,29
708,AGLDUSDT,ALICEUSDT,0.02,-3.74,-3.37,0.18,29
977,ANKRUSDT,RNDRUSDT,0.01,-4.07,-3.37,0.05,29
563,OMGUSDT,BLZUSDT,0.02,-3.71,-3.37,19.66,29
967,SLPUSDT,ASTRUSDT,0.01,-4.04,-3.37,0.09,29
1182,RSRUSDT,MANAUSDT,0.03,-3.52,-3.37,0.01,29
703,AGLDUSDT,ENJUSDT,0.01,-3.87,-3.37,0.79,29
1147,CVCUSDT,1INCHUSDT,0.01,-3.99,-3.37,0.22,29
815,TLMUSDT,BAKEUSDT,0.04,-3.41,-3.37,0.09,29
816,TLMUSDT,ASTRUSDT,0.03,-3.56,-3.37,0.64,29
651,HBARUSDT,GRTUSDT,0.04,-3.38,-3.37,0.66,29
1322,1INCHUSDT,ICXUSDT,0.0,-4.32,-3.37,2.32,29
1327,1INCHUSDT,BAKEUSDT,0.0,-4.29,-3.37,2.15,29
828,RUNEUSDT,LUNA2USDT,0.01,-4.09,-3.37,1.25,29
1185,RSRUSDT,YFIUSDT,0.01,-3.81,-3.37,0.0,29
1154,CVCUSDT,API3USDT,0.01,-3.81,-3.37,0.08,29
1188,RSRUSDT,HBARUSDT,0.01,-3.91,-3.37,0.1,29
714,AGLDUSDT,SLPUSDT,0.03,-3.56,-3.37,101.61,29
775,EGLDUSDT,CTCUSDT,0.01,-3.9,-3.37,160.54,29
700,AGLDUSDT,SANDUSDT,0.02,-3.6,-3.37,0.33,29
2238,USDCUSDT,UNIUSDT,0.0,-7.59,-3.37,0.14,29
883,WOOUSDT,JSTUSDT,0.0,-4.57,-3.37,6.23,29
892,WOOUSDT,DARUSDT,0.04,-3.42,-3.37,0.62,29
1404,ICXUSDT,ENJUSDT,0.04,-3.44,-3.37,0.55,29
914,LRCUSDT,GLMRUSDT,0.0,-4.97,-3.37,0.63,29
1407,ICXUSDT,FLOWUSDT,0.01,-3.8,-3.37,0.18,29
1227,STXUSDT,RNDRUSDT,0.03,-3.53,-3.37,0.74,29
1063,YGGUSDT,WAVESUSDT,0.0,-4.69,-3.37,0.13,29
942,BATUSDT,API3USDT,0.0,-4.43,-3.37,0.21,29
945,BATUSDT,BELUSDT,0.0,-4.39,-3.37,0.5,29
1106,SFPUSDT,IOTAUSDT,0.01,-3.98,-3.37,1.14,29
2395,USDCUSDT,BELUSDT,0.0,-7.56,-3.37,1.27,29
544,NEARUSDT,XNOUSDT,0.04,-3.45,-3.37,3.95,29
470,BSVUSDT,ROSEUSDT,0.03,-3.55,-3.37,1041.17,29
1826,GLMRUSDT,ICPUSDT,0.01,-3.79,-3.37,0.09,29
1809,ARPAUSDT,ASTRUSDT,0.0,-4.57,-3.37,0.87,29
1786,ARPAUSDT,XLMUSDT,0.03,-3.54,-3.37,0.34,29
263,XLMUSDT,TLMUSDT,0.0,-4.42,-3.37,4.03,29
273,XLMUSDT,BSWUSDT,0.0,-4.85,-3.37,0.35,29
277,TRXUSDT,VETUSDT,0.03,-3.51,-3.37,2.92,29
1736,BSWUSDT,GRTUSDT,0.01,-3.78,-3.37,3.14,29
294,VETUSDT,OMGUSDT,0.01,-3.9,-3.37,0.01,29
313,THETAUSDT,ENJUSDT,0.03,-3.53,-3.37,2.32,29
2339,USDCUSDT,CREAMUSDT,0.0,-7.57,-3.37,0.06,29
344,MANAUSDT,XLMUSDT,0.0,-4.49,-3.37,7.87,29
356,MANAUSDT,SUNUSDT,0.0,-4.83,-3.37,147.92,29
389,CHZUSDT,CVCUSDT,0.01,-4.11,-3.37,0.77,29
393,CHZUSDT,JSTUSDT,0.01,-3.87,-3.37,3.72,29
1564,BANDUSDT,LINKUSDT,0.03,-3.49,-3.37,0.22,29
414,ENJUSDT,YGGUSDT,0.03,-3.56,-3.37,0.79,29
417,ENJUSDT,WAVESUSDT,0.0,-4.26,-3.37,0.1,29
419,ENJUSDT,ZILUSDT,0.0,-4.5,-3.37,13.24,29
432,GRTUSDT,MINAUSDT,0.02,-3.62,-3.37,0.15,29
1834,BAKEUSDT,DOGEUSDT,0.03,-3.47,-3.37,4.75,29
1839,BAKEUSDT,LPTUSDT,0.02,-3.62,-3.37,0.03,29
1846,BAKEUSDT,1000XECUSDT,0.04,-3.42,-3.37,7.57,29
128,LINKUSDT,RNDRUSDT,0.04,-3.46,-3.37,12.3,29
3,BTCUSDT,DOGEUSDT,0.0,-4.27,-3.37,330693.22,29
10,BTCUSDT,ICPUSDT,0.02,-3.6,-3.37,3001.69,29
20,BTCUSDT,RNDRUSDT,0.0,-4.71,-3.37,40407.41,29
60,EOSUSDT,TLMUSDT,0.0,-5.11,-3.37,36.8,29
86,XRPUSDT,1000XECUSDT,0.0,-4.44,-3.37,8.6,29
2375,USDCUSDT,MINAUSDT,0.0,-7.54,-3.37,1.48,29
1980,FITFIUSDT,PAXGUSDT,0.01,-3.84,-3.37,0.0,29
126,LINKUSDT,TLMUSDT,0.0,-4.6,-3.37,238.55,29
137,ADAUSDT,SCUSDT,0.02,-3.75,-3.37,112.58,29
1848,BAKEUSDT,DARUSDT,0.04,-3.42,-3.37,1.03,29
163,XEMUSDT,BATUSDT,0.01,-4.09,-3.37,0.1,29
177,AAVEUSDT,COMPUSDT,0.03,-3.5,-3.37,1.64,29
1896,ACHUSDT,XEMUSDT,0.02,-3.63,-3.37,0.3,29
188,DOGEUSDT,MANAUSDT,0.03,-3.5,-3.37,0.07,29
198,DOGEUSDT,RNDRUSDT,0.0,-4.81,-3.37,0.12,29
206,DOGEUSDT,SUNUSDT,0.04,-3.46,-3.37,11.05,29
1865,MINAUSDT,RNDRUSDT,0.0,-4.27,-3.37,1.3,29
1854,ASTRUSDT,BICOUSDT,0.01,-3.81,-3.37,0.08,29
448,YFIUSDT,BATUSDT,0.02,-3.62,-3.37,15720.64,29
2261,USDCUSDT,GRTUSDT,0.0,-7.56,-3.37,10.07,29
492,ICPUSDT,RNDRUSDT,0.04,-3.47,-3.37,13.46,29
513,FTMUSDT,DUSKUSDT,0.02,-3.75,-3.37,2.19,29
535,NEARUSDT,BSVUSDT,0.02,-3.73,-3.37,0.07,29
499,ICPUSDT,ZILUSDT,0.01,-4.11,-3.37,182.36,29
504,FTMUSDT,NEARUSDT,0.01,-4.03,-3.37,0.07,29
540,NEARUSDT,KLAYUSDT,0.01,-3.9,-3.37,15.38,29
332,AXSUSDT,LRCUSDT,0.02,-3.72,-3.37,36.82,28
1415,ICXUSDT,JSTUSDT,0.02,-3.67,-3.37,9.7,28
1653,API3USDT,MANAUSDT,0.0,-4.85,-3.37,2.15,28
1275,BICOUSDT,TLMUSDT,0.02,-3.68,-3.37,19.02,28
1631,OCEANUSDT,AUDIOUSDT,0.03,-3.51,-3.37,0.51,28
766,EGLDUSDT,MANAUSDT,0.03,-3.55,-3.37,69.42,28
83,XRPUSDT,BANDUSDT,0.01,-3.84,-3.37,0.25,28
329,COMPUSDT,LUNA2USDT,0.05,-3.37,-3.37,30.69,28
581,IOSTUSDT,ARPAUSDT,0.0,-4.25,-3.37,0.37,28
1569,BANDUSDT,HOTUSDT,0.02,-3.61,-3.37,684.53,28
2010,CTCUSDT,VETUSDT,0.0,-4.98,-3.37,15.81,28
944,BATUSDT,LUNA2USDT,0.0,-4.32,-3.37,0.22,28
949,STORJUSDT,API3USDT,0.02,-3.72,-3.37,0.37,28
1296,REQUSDT,BANDUSDT,0.0,-4.23,-3.37,0.08,28
1699,API3USDT,ZILUSDT,0.01,-3.98,-3.37,47.69,28
717,AGLDUSDT,SCUSDT,0.04,-3.47,-3.37,101.23,28
2127,CTCUSDT,DARUSDT,0.0,-4.3,-3.37,1.26,28
2108,CTCUSDT,STMXUSDT,0.01,-4.0,-3.37,48.18,28
812,TLMUSDT,STMXUSDT,0.05,-3.37,-3.37,3.52,28
1184,RSRUSDT,SHIB1000USDT,0.01,-3.99,-3.37,0.62,28
255,SOLUSDT,FXSUSDT,0.04,-3.43,-3.37,7.12,28
167,XEMUSDT,CTCUSDT,0.03,-3.51,-3.37,0.11,28
778,RENUSDT,ANTUSDT,0.02,-3.74,-3.37,0.09,28
2096,CTCUSDT,BANDUSDT,0.0,-4.58,-3.37,0.26,28
1701,API3USDT,JSTUSDT,0.01,-3.81,-3.37,63.36,28
278,TRXUSDT,TLMUSDT,0.0,-5.17,-3.37,2.53,28
1755,BSWUSDT,GLMRUSDT,0.03,-3.51,-3.37,0.51,28
730,AGLDUSDT,CTCUSDT,0.01,-4.1,-3.37,1.09,28
119,XTZUSDT,GLMRUSDT,0.03,-3.55,-3.37,2.57,28
310,THETAUSDT,ADAUSDT,0.04,-3.46,-3.37,2.64,28
722,AGLDUSDT,BANDUSDT,0.03,-3.5,-3.37,0.29,28
586,DASHUSDT,CHRUSDT,0.02,-3.62,-3.37,245.93,28
2069,CTCUSDT,MASKUSDT,0.0,-4.91,-3.37,0.25,28
1370,REEFUSDT,JSTUSDT,0.0,-4.87,-3.37,0.12,28
999,QTUMUSDT,ALPHAUSDT,0.02,-3.7,-3.37,23.52,28
1386,PEOPLEUSDT,BSWUSDT,0.04,-3.38,-3.37,0.08,28
995,LPTUSDT,FXSUSDT,0.04,-3.4,-3.37,1.61,28
1380,XMRUSDT,BOBAUSDT,0.01,-3.91,-3.37,343.34,28
19,BTCUSDT,CVCUSDT,0.02,-3.6,-3.37,149981.53,28
2046,CTCUSDT,IOTXUSDT,0.0,-4.5,-3.37,12.92,28
1401,IOTAUSDT,1000XECUSDT,0.0,-4.56,-3.37,6.87,28
514,FTMUSDT,ICXUSDT,0.02,-3.62,-3.37,0.92,27
1744,BSWUSDT,RNDRUSDT,0.01,-3.88,-3.37,0.6,27
2239,USDCUSDT,XEMUSDT,0.0,-7.59,-3.37,24.4,27
1233,STXUSDT,ZILUSDT,0.0,-5.21,-3.37,10.06,27
573,IOSTUSDT,LRCUSDT,0.02,-3.62,-3.37,0.03,27
2369,USDCUSDT,GLMRUSDT,0.0,-7.59,-3.37,1.62,27
556,OMGUSDT,STXUSDT,0.0,-4.59,-3.37,4.68,27
1142,LITUSDT,RAYUSDT,0.03,-3.56,-3.37,0.9,27
877,WOOUSDT,ROSEUSDT,0.01,-4.0,-3.37,3.49,27
133,ADAUSDT,TLMUSDT,0.01,-4.02,-3.37,16.68,27
1124,ZENUSDT,CKBUSDT,0.0,-4.25,-3.37,4004.68,27
1961,DARUSDT,IOTXUSDT,0.03,-3.51,-3.37,10.25,27
629,GALAUSDT,FXSUSDT,0.01,-3.99,-3.37,0.01,27
300,VETUSDT,RNDRUSDT,0.05,-3.37,-3.37,0.04,27
2092,CTCUSDT,RAYUSDT,0.01,-4.01,-3.37,0.41,27
2317,USDCUSDT,RSRUSDT,0.0,-7.59,-3.37,148.93,27
32,BTCUSDT,ARPAUSDT,0.01,-3.98,-3.37,572440.13,27
509,FTMUSDT,ANKRUSDT,0.04,-3.45,-3.37,9.41,27
1112,SFPUSDT,BANDUSDT,0.0,-4.17,-3.37,0.22,27
1385,PEOPLEUSDT,SUNUSDT,0.04,-3.45,-3.37,4.12,27
451,YFIUSDT,ICXUSDT,0.01,-3.91,-3.37,22014.15,27
328,COMPUSDT,CTCUSDT,0.0,-4.52,-3.37,149.86,27
449,YFIUSDT,1INCHUSDT,0.01,-3.77,-3.37,9486.5,27
1695,API3USDT,KAVAUSDT,0.04,-3.46,-3.37,1.05,27
340,AXSUSDT,GALUSDT,0.04,-3.43,-3.37,5.26,27
447,YFIUSDT,TLMUSDT,0.01,-3.89,-3.37,229902.66,27
904,LRCUSDT,MASKUSDT,0.02,-3.63,-3.37,0.27,27
508,FTMUSDT,ENSUSDT,0.03,-3.58,-3.37,0.03,27
123,XTZUSDT,BELUSDT,0.0,-4.61,-3.37,2.01,27
976,ANKRUSDT,SFPUSDT,0.0,-4.28,-3.37,0.09,27
909,LRCUSDT,ZILUSDT,0.03,-3.57,-3.37,10.06,27
225,BNBUSDT,GALAUSDT,0.03,-3.5,-3.37,4822.18,27
2281,USDCUSDT,AGLDUSDT,0.0,-7.54,-3.37,2.49,27
567,IOSTUSDT,GRTUSDT,0.03,-3.54,-3.37,0.14,27
1845,BAKEUSDT,LINAUSDT,0.0,-4.55,-3.37,34.54,27
1433,CELOUSDT,BAKEUSDT,0.01,-3.94,-3.37,3.01,27
806,TLMUSDT,SUNUSDT,0.0,-5.4,-3.37,4.66,27
2284,USDCUSDT,ALICEUSDT,0.0,-7.62,-3.37,0.45,27
1436,CELOUSDT,BLZUSDT,0.01,-3.96,-3.37,9.89,27
2104,CTCUSDT,CTSIUSDT,0.0,-4.7,-3.37,2.28,27
219,MATICUSDT,FXSUSDT,0.04,-3.46,-3.37,0.14,27
1406,ICXUSDT,TLMUSDT,0.01,-3.9,-3.37,10.44,27
1176,RSRUSDT,XEMUSDT,0.03,-3.54,-3.37,0.16,27
825,RUNEUSDT,WAVESUSDT,0.0,-4.26,-3.37,0.44,27
1180,RSRUSDT,TRXUSDT,0.01,-4.0,-3.37,0.1,27
203,DOGEUSDT,CELOUSDT,0.02,-3.61,-3.37,0.07,27
1444,WAVESUSDT,HNTUSDT,0.03,-3.57,-3.37,0.57,27
1164,RNDRUSDT,IOTAUSDT,0.03,-3.51,-3.37,1.9,27
183,AAVEUSDT,LUNA2USDT,0.03,-3.49,-3.37,50.26,27
558,OMGUSDT,IOTAUSDT,0.0,-5.27,-3.37,6.59,27
1902,ACHUSDT,WOOUSDT,0.03,-3.49,-3.37,0.07,27
486,ICPUSDT,IOSTUSDT,0.01,-3.87,-3.37,518.61,27
2118,CTCUSDT,BNXUSDT,0.03,-3.52,-3.37,0.0,27
2305,USDCUSDT,YGGUSDT,0.0,-7.56,-3.37,1.56,27
1200,RSRUSDT,SCUSDT,0.02,-3.64,-3.37,1.69,27
1201,RSRUSDT,STXUSDT,0.03,-3.5,-3.37,0.02,27
2124,CTCUSDT,DODOUSDT,0.0,-4.21,-3.37,2.39,27
860,WOOUSDT,FLOWUSDT,0.04,-3.41,-3.37,0.11,27
771,EGLDUSDT,KAVAUSDT,0.04,-3.39,-3.37,34.0,27
598,FTTUSDT,CKBUSDT,0.03,-3.49,-3.37,6696.13,27
863,WOOUSDT,SXPUSDT,0.0,-4.72,-3.37,0.48,27
1765,CTSIUSDT,BAKEUSDT,0.0,-4.15,-3.37,0.53,27
271,XLMUSDT,SUNUSDT,0.03,-3.55,-3.37,18.79,27
1267,MASKUSDT,MINAUSDT,0.0,-4.51,-3.37,2.15,27
1979,FITFIUSDT,RSS3USDT,0.05,-3.38,-3.37,0.49,27
927,IOTXUSDT,LPTUSDT,0.02,-3.69,-3.37,0.0,27
2009,CTCUSDT,TRXUSDT,0.0,-4.65,-3.37,5.42,27
1607,RSS3USDT,KAVAUSDT,0.01,-3.92,-3.37,0.08,27
922,ENSUSDT,SCUSDT,0.01,-3.81,-3.37,2385.11,27
617,GALAUSDT,REQUSDT,0.02,-3.71,-3.37,0.44,27
442,SHIB1000USDT,API3USDT,0.01,-4.02,-3.37,0.01,27
670,ONEUSDT,BATUSDT,0.02,-3.68,-3.37,0.05,27
2299,USDCUSDT,SLPUSDT,0.0,-7.59,-3.37,253.38,27
1074,YGGUSDT,BSWUSDT,0.02,-3.77,-3.37,2.06,27
1303,REQUSDT,MINAUSDT,0.01,-3.83,-3.37,0.17,27
354,MANAUSDT,ICXUSDT,0.0,-4.57,-3.37,3.04,27
392,CHZUSDT,CKBUSDT,0.01,-4.01,-3.37,26.4,27
933,IOTXUSDT,1000XECUSDT,0.01,-3.99,-3.37,0.71,27
438,SHIB1000USDT,1INCHUSDT,0.03,-3.56,-3.37,0.02,27
1067,YGGUSDT,ZILUSDT,0.02,-3.74,-3.37,16.78,27
2048,CTCUSDT,BATUSDT,0.0,-5.46,-3.37,0.94,27
680,ONEUSDT,BSWUSDT,0.0,-4.28,-3.37,0.07,27
1058,YGGUSDT,CTKUSDT,0.04,-3.44,-3.37,0.82,27
65,EOSUSDT,MASKUSDT,0.0,-4.3,-3.37,0.68,27
2015,CTCUSDT,KSMUSDT,0.0,-5.1,-3.37,0.01,27
1312,1INCHUSDT,BTCUSDT,0.04,-3.46,-3.37,0.0,27
1323,1INCHUSDT,CELOUSDT,0.03,-3.58,-3.37,0.72,27
416,ENJUSDT,MASKUSDT,0.04,-3.4,-3.37,0.35,27
1353,DUSKUSDT,BOBAUSDT,0.03,-3.55,-3.37,0.3,27
2322,USDCUSDT,1INCHUSDT,0.0,-7.59,-3.37,1.54,27
639,CELRUSDT,RNDRUSDT,0.03,-3.49,-3.37,0.03,27
2251,USDCUSDT,THETAUSDT,0.0,-7.55,-3.37,0.85,27
431,GRTUSDT,ARPAUSDT,0.04,-3.41,-3.37,2.71,27
1343,ANTUSDT,CKBUSDT,0.02,-3.64,-3.37,422.1,27
1346,ANTUSDT,ZRXUSDT,0.05,-3.38,-3.37,5.76,27
1621,RSS3USDT,BOBAUSDT,0.01,-3.85,-3.37,0.37,27
200,DOGEUSDT,MASKUSDT,0.0,-4.12,-3.37,0.04,27
1085,YGGUSDT,LUNA2USDT,0.02,-3.73,-3.37,0.36,27
445,YFIUSDT,SHIB1000USDT,0.02,-3.64,-3.37,567983.09,27
92,BCHUSDT,FXSUSDT,0.02,-3.72,-3.37,20.0,27
694,C98USDT,DARUSDT,0.01,-3.93,-3.37,1.63,27
372,KSMUSDT,LINAUSDT,0.01,-3.88,-3.37,6229.76,27
446,YFIUSDT,EGLDUSDT,0.01,-4.08,-3.37,104.37,27
505,FTMUSDT,CELRUSDT,0.01,-4.02,-3.37,15.27,27
1102,SFPUSDT,RNDRUSDT,0.02,-3.61,-3.37,0.6,26
266,XLMUSDT,CVCUSDT,0.01,-3.77,-3.37,0.77,26
768,EGLDUSDT,RNDRUSDT,0.03,-3.5,-3.37,113.59,26
861,WOOUSDT,IOTXUSDT,0.01,-3.82,-3.37,6.32,26
2144,LUNA2USDT,IOSTUSDT,0.04,-3.41,-3.37,133.11,26
1367,REEFUSDT,ICXUSDT,0.01,-3.98,-3.37,0.01,26
1210,RSRUSDT,BANDUSDT,0.04,-3.45,-3.37,0.0,26
1153,CVCUSDT,BANDUSDT,0.04,-3.46,-3.37,0.1,26
161,XEMUSDT,CHZUSDT,0.03,-3.57,-3.37,0.38,26
2384,USDCUSDT,GSTUSDT,0.0,-7.74,-3.37,12.83,26
1992,CTCUSDT,BTCUSDT,0.0,-4.77,-3.37,0.0,26
2183,BELUSDT,UNIUSDT,0.03,-3.48,-3.37,0.11,26
1466,KAVAUSDT,ROSEUSDT,0.01,-4.02,-3.37,33.72,26
193,DOGEUSDT,TLMUSDT,0.0,-4.92,-3.37,2.37,26
1463,KAVAUSDT,RNDRUSDT,0.01,-3.79,-3.37,3.34,26
1196,RSRUSDT,ANKRUSDT,0.05,-3.37,-3.37,0.24,26
1885,1000XECUSDT,ANKRUSDT,0.01,-3.94,-3.37,1.45,26
1690,API3USDT,PEOPLEUSDT,0.01,-3.83,-3.37,77.19,26
1167,RNDRUSDT,ZRXUSDT,0.03,-3.53,-3.37,1.75,26
1497,10000NFTUSDT,SRMUSDT,0.03,-3.48,-3.37,0.01,26
2008,CTCUSDT,XLMUSDT,0.0,-5.1,-3.37,3.4,26
30,BTCUSDT,BANDUSDT,0.01,-4.03,-3.37,15067.74,26
287,TRXUSDT,SUNUSDT,0.01,-3.8,-3.37,11.8,26
1294,REQUSDT,WAVESUSDT,0.03,-3.52,-3.37,0.02,26
736,MKRUSDT,RNDRUSDT,0.01,-3.94,-3.37,1786.13,26
1472,KAVAUSDT,BLZUSDT,0.02,-3.6,-3.37,18.91,26
1139,LITUSDT,DYDXUSDT,0.02,-3.66,-3.37,0.39,26
2055,CTCUSDT,CROUSDT,0.0,-4.54,-3.37,3.04,26
888,WOOUSDT,LINAUSDT,0.0,-4.6,-3.37,20.57,26
1880,BOBAUSDT,SCUSDT,0.0,-4.23,-3.37,100.84,26
1341,ANTUSDT,XMRUSDT,0.0,-4.46,-3.37,0.01,26
1011,SXPUSDT,STXUSDT,0.03,-3.57,-3.37,0.98,26
1742,BSWUSDT,ANKRUSDT,0.0,-4.61,-3.37,11.36,26
1999,CTCUSDT,ADAUSDT,0.0,-4.59,-3.37,0.82,26
2021,CTCUSDT,BSVUSDT,0.0,-4.5,-3.37,0.01,26
1145,CVCUSDT,MANAUSDT,0.04,-3.45,-3.37,0.16,26
1301,REQUSDT,ASTRUSDT,0.02,-3.66,-3.37,2.72,26
698,AGLDUSDT,DOGEUSDT,0.02,-3.62,-3.37,6.33,26
2132,CTCUSDT,LUNA2USDT,0.01,-3.83,-3.37,0.2,26
1638,API3USDT,BTCUSDT,0.0,-4.43,-3.37,0.0,26
443,SHIB1000USDT,BSWUSDT,0.03,-3.58,-3.37,0.03,26
757,ALICEUSDT,ICXUSDT,0.04,-3.44,-3.37,7.92,26
1889,1000XECUSDT,FXSUSDT,0.03,-3.54,-3.37,0.01,25
97,LTCUSDT,GTCUSDT,0.03,-3.57,-3.37,22.04,25
821,TLMUSDT,BLZUSDT,0.0,-4.88,-3.37,0.29,25
105,LTCUSDT,DARUSDT,0.04,-3.45,-3.37,181.99,25
984,ANKRUSDT,HOTUSDT,0.03,-3.54,-3.37,13.5,25
1172,RSRUSDT,BTCUSDT,0.01,-4.07,-3.37,0.0,25
2024,CTCUSDT,ALGOUSDT,0.0,-5.01,-3.37,1.1,25
1174,RSRUSDT,ADAUSDT,0.04,-3.45,-3.37,0.02,25
981,ANKRUSDT,ROSEUSDT,0.01,-3.86,-3.37,0.53,25
187,DOGEUSDT,VETUSDT,0.0,-4.14,-3.37,2.73,25
100,LTCUSDT,BANDUSDT,0.03,-3.51,-3.37,38.08,25
2248,USDCUSDT,XLMUSDT,0.0,-7.54,-3.37,9.28,25
886,WOOUSDT,ZRXUSDT,0.01,-3.91,-3.37,0.6,25
55,EOSUSDT,NEARUSDT,0.0,-4.4,-3.37,0.28,25
1149,CVCUSDT,ICXUSDT,0.01,-3.83,-3.37,0.5,25
887,WOOUSDT,BAKEUSDT,0.01,-3.82,-3.37,0.6,25
127,LINKUSDT,ENSUSDT,0.02,-3.71,-3.37,0.67,25
1080,YGGUSDT,MINAUSDT,0.0,-4.24,-3.37,0.95,25
551,OMGUSDT,NEARUSDT,0.04,-3.4,-3.37,0.51,25
917,LRCUSDT,GALUSDT,0.03,-3.5,-3.37,0.14,25
78,XRPUSDT,SXPUSDT,0.0,-4.24,-3.37,0.91,25
2263,USDCUSDT,YFIUSDT,0.0,-7.58,-3.37,0.0,25
2241,USDCUSDT,AAVEUSDT,0.0,-7.71,-3.37,0.01,25
